title,author/0,translator/0,o_title,o_language/0,wikidata,notes,links,volume,nybc_id,date,downloads,item_size,place/0,publisher/0,year,author/1,author/2,author/3,place/1,author/4,author/5,translator/1,o_language/1,place/2,publisher/1,o_language/2,translator/2,translator/3,translator/4
Zshan kristof,"Rolland, Romain","Mark, Aaron",Jean-Christophe,French,Q2476850,,,6,nybc203365,1931-01-01T00:00:00Z,118,67358688,Vilne,B. Kletskin,1931,,,,,,,,,,,,,,
Zshan kristof,"Rolland, Romain","Mark, Aaron",Jean-Christophe,French,Q2476851,,,3,nybc203362,1931-01-01T00:00:00Z,104,73445614,Vilne,B. Kletskin,1931,,,,,,,,,,,,,,
Zshan kristof,"Rolland, Romain","Mark, Aaron",Jean-Christophe,French,Q2476852,,,1,nybc203360,1931-01-01T00:00:00Z,233,141002842,Vilne,B. Kletskin,1931,,,,,,,,,,,,,,
Zshan kristof,"Rolland, Romain","Mark, Aaron",Jean-Christophe,French,Q2476853,,,2,nybc203361,1931-01-01T00:00:00Z,126,106311427,Vilne,B. Kletskin,1931,,,,,,,,,,,,,,
Zshon Kristof [Jean-Christophe],"Rolland, Romain","Fornberg, K.",Jean-Christophe,French,Q2476843,,,5,nybc210091,1918-01-01T00:00:00Z,149,36044484,New York,Literarisher farlag,1918,,,,,,,,,,,,,,
Zshon Kristof [Jean-Christophe],"Rolland, Romain","Fornberg, K.",Jean-Christophe,French,Q2476844,,,4,nybc210090,1918-01-01T00:00:00Z,103,56040333,New York,Literarisher farlag,1918,,,,,,,,,,,,,,
Zshon Kristof [Jean-Christophe],"Rolland, Romain","Fornberg, K.",Jean-Christophe,French,Q2476845,,,3,nybc210089,1918-01-01T00:00:00Z,120,52184444,New York,Literarisher farlag,1918,,,,,,,,,,,,,,
Zshon Kristof [Jean-Christophe],"Rolland, Romain","Fornberg, K.",Jean-Christophe,French,Q2476846,,,2,nybc210088,1918-01-01T00:00:00Z,116,42122209,New York,Literarisher farlag,1918,,,,,,,,,,,,,,
Zshon Kristof [Jean-Christophe],"Rolland, Romain","Fornberg, K.",Jean-Christophe,French,Q2476847,,,1,nybc210087,1918-01-01T00:00:00Z,173,41556729,New York,Literarisher farlag,1918,,,,,,,,,,,,,,
Pyer un Lutsye,"Rolland, Romain","Taykhman, M.",Pierre et Luce ,French,Q7192534,,,,nybc203359,1926-01-01T00:00:00Z,173,22864104,Warsaw,Kultur lige,1926,,,,,,,,,,,,,,
Di direkte aktsyon,"Naft, Stephen","Rocker, Rudolf",Die direkte Aktion,German,,,https://www.anarchismus.at/texte-anarchosyndikalismus/anarchosyndikalistische-theorie/6484-arnold-roller-die-direkte-aktion,,nybc210973,1907-01-01T00:00:00Z,213,23395644,London,Sindikalistishe grupe fun di but un shu treyd,1907,,,,,,,,,,,,,,
Dray por zaydene zokn,"Romanov, Panteleimon","Zaks, Sh.",Три пары шелковых чулок,Russian,,,,,nybc205077,1933-01-01T00:00:00Z,163,62878477,Warsaw,Sh. Goldfarb,1933,,,,,,,,,,,,,,
Briv fun toytn-hoyz,"Rosenberg, Ethel",unknown,Death House Letters,English,,Maybe translated by B. Grin? The introductory poem is translated by him,,,nybc202024,1953-01-01T00:00:00Z,234,76455924,Warsaw,Yidish bukh,1953,"Rosenberg, Julius",,,,,,,,,,,,,
Haynrikh Hayne,"Heine, Heinrich","Rosenfeld, Morris",unknown,German,,anthology,,,nybc202645,1906-01-01T00:00:00Z,305,18132310,New York,Internatsyonale biblyothek ferlag ko.,1906,,,,,,,,,,,,,,
fray baarbet nokh farshidene kvelen,"HaLevi, Judah","Rosenfeld, Morris",unknown,Hebrew,,anthology,,,nybc203879,1907-01-01T00:00:00Z,259,13089877,New York,Star Hebrew Book Co.,1907,,,,,,,,,,,,,,
zayn leben un zayne shriften,"HaLevi, Judah","Rosenfeld, Morris",unknown,Hebrew,,anthology,,,nybc202200,1907-01-01T00:00:00Z,274,14568030,New York,Internatsonale bibliothek,1907,,,,,,,,,,,,,,
Napoleon in Rusland,"Ross, Heinrich","Shapiro, N.",unknown,,,,,,nybc201842,2021-09-19T00:00:00Z,236,127437834,Warsaw,Farlag Yidish,unknown,,,,,,,,,,,,,,
konfesyon,"Rousseau, Jean-Jacques","Kasel, D.",Les Confessions,French,,,,,nybc212176,,105,482120671,Warsaw,Yidish,unknown,,,,,,,,,,,,,,
Grezeles pasirungen,"Rozanov, Sergei","Taykhman, M.",Приключения Травки,Russian,Q26789406,,,,nybc205249,1938-01-01T00:00:00Z,171,15861758,Warsaw,Kinderfraynd,1938,,,,,,,,,,,,,,
Greyditser,"Rozenberg, Yudl",unknown,הדרת אליהו,Hebrew,,,,,nybc201321,,195,86153636,Pietrykau,Y. Shlomovits,unknown,,,,,,,,,,,,,,
"In'm rash ertsehlungen, bilder, kharakteristikes un epizoden fun milkhome-leben","Lessing, Gotthold","Gorin, B.",Nathan der Weise,German,Q286611,Adapted to short story form.,,,nybc205113,1921-01-01T00:00:00Z,214,72961333,Warsaw,Unzer velt,1921,,,,,,,,,,,,,,
Di nisyoynes fun a Yidishn doktor,"Rubakin, Nikolai","Bastomski, S., 1891-1941",Испытания доктора Исаака,Russian,,,,,nybc213071,,134,7869427,Vilne,"""vilner farlag""",unknown,,,,,,,,,,,,,,
"Far freyheyt un rekht historishe khronik, oys der tsayt fun der Shpanisher inkvizitsye in Holand","Rubakin, Nikolai","Reyzen, Z.",Вечная Слава,Russian,,,,,nybc201290,2021-09-19T00:00:00Z,187,80309738,Vilne,B. Kletskin,unknown,,,,,,,,,,,,,,
vi leben di khayes? bilder fun thier leben,"Rubakin, Nikolai",unknown,Рассказы о делах в царстве животных,Russian,,,,,nybc201849,1902-01-01T00:00:00Z,168,66989397,Warsaw,Progres,1902,,,,,,,,,,,,,,
A mayse mit a Yidishn doktor,"Rubakin, Nikolai","Bastomski, S., 1891-1941",Испытания доктора Исаака,Russian,,,,,nybc211712,1945-01-01T00:00:00Z,202,8969570,New York,Farlag Arbeter-Ring,1945,,,,,,,,,,,,,,
Die yom-bonditten an adaptation in Yiddish of Gilbert and Sullivan's Pirates of Penzance,"Sulivan, Arthur","Rubien, Murray",The Pirates of Penzance,English,Q1215463,,,,nybc205310,1952-01-01T00:00:00Z,304,4594826,Brooklyn,Kadimah Group of Hadassah,1952,"Gilbert, William",,,,,,,,,,,,,
Dos tog-bukh,"Rubinowicz, Dawid","Sfard, David",Pamiętnik Dawida Rubinowicza,Polish,,,,,nybc200574,1960-01-01T00:00:00Z,189,44076757,Warsaw,ksianzshka i viedza,1960,,,,,,,,,,,,,,
Dos tog-bukh,"Rubinowicz, Dawid","Sfard, David",Pamiętnik Dawida Rubinowicza,Polish,,,,,nybc210157,1960-01-01T00:00:00Z,175,31364585,Buenos Aires,Ikuf,1960,,,,,,,,,,,,,,
Torat ha-moreh veha-talmid khumash le-vate limud ule-am,unknown,"Rublin, M. M.",בראשית,Hebrew,Q9184,,,,nybc202669,1908-01-01T00:00:00Z,1348,343102726,Riga,Be-hotsaʼot uvi-defus shel Ernest Plates,1908,,,,,,,,,,,,,,
Aritmetik 1,"Rusiecki, A. M.","Lev, Sheyne",Arytmetyka,Polish,,,,,aritmetik100rusi,1951-01-01T00:00:00Z,183,157193028,,Melukhe farlag far shul-oysgabn,1951,"Zarzecki, A.","Chwiałkowski, Z.","Schayer, A>",,,,,,,,,,,
Der giber in der tiger-fel,"Rustaveli, Shota","Hofstein, David",ვეფხისტყაოსანი,Georgian,Q204208,,,,nybc213074,1937-01-01T00:00:00Z,897,23004846,Kyiv,Ukrmelukhenatsmindfarlag,1937,,,,,,,"Kashtshevatski, M",,,,,,,
Di natsyonale viederbelebung fun dem Idishen folk,"Rutenberg, Pinhas","Rivkin, Borekh",unknown,Russian,,Translated from the manuscript,,,nybc211212,1915-01-01T00:00:00Z,166,8046955,New York,Maks Mayzel,1915,,,,,,,,,,,,,,
Milyonen menshen vos leben yetst velen keynmol nit starben,"Rutherford, Joseph",unknown,Millions Now Living Will Never Die!,English,,,,,nybc212704,1920-01-01T00:00:00Z,102,212091144,Brooklyn,Ernste Bibel forsher,1920,,,,,,,,,,,,,,
Trayst far di Iden,"Rutherford, Joseph",unknown,Comfort for the Jews,English,,,,,nybc210175,1925-01-01T00:00:00Z,168,57685382,Brooklyn,Internatsyonale Bibel studenten gezelshaft,1925,,,,,,,,,,,,,,
Der gerekhter Hersher,"Rutherford, Joseph",unknown,Righteous Ruler,English,,,,,nybc205045,1934-01-01T00:00:00Z,261,15986866,Brooklyn,Watchtower Bible and Tract Society,1934,,,,,,,,,,,,,,
Dos Kenigraykh,"Rutherford, Joseph",unknown,The Kingdom,English,,,,,nybc211974,1931-01-01T00:00:00Z,166,23126505,Brooklyn,"Ṿakhṭurem Bibl-un Ṭraḳṭaṭ-gezelshafṭ, Inṭernatsyonale Biblforsher-fareyniḳung",1931,,,,,,,,,,,,,,
Etyudn iber der geshikhte fun der revolyutsyonerer bavenung di epokhe fun industriyeln kapitalizm,"Ryklin, L.","Kanatkin, N.",Очерки истории революционного движения,Russian,,,,,nybc204627,1934-01-01T00:00:00Z,130,277230299,Moscow,Emes,1934,,,,,,,,,,,,,,
Di likht-shtrahlen fun Talmud,unknown,"Sabath, Abarahm Mayer",תלמוד,Hebrew,Q43290,,,,nybc212155,1925-01-01T00:00:00Z,139,126526182,New York,[s. n.],1925,,,,,,,,Aramaic,,,,,,
Talmud Bavli,unknown,"Salkind, Jacob Meier",מסכת ברכות,Hebrew,Q2211504,,,1,nybc203045,1922-01-01T00:00:00Z,1036,530948332,London,Farlag Gmore,1922,,,,,,,,Aramaic,,,,,,
Bambi vald maysele,"Salten, Felix","Hodes, L.",Bambi. Eine Lebensgeschichte aus dem Walde,German,Q742753,,,,nybc208824,1930-01-01T00:00:00Z,3476,41369360,Warsaw,Kultur lige,1930,,,,,,,,,,,,,,
Mayselekh,"Saltykov-Shchedrin, Mikhail","Velednitski, A.",unknown,Russian,,anthology,,,nybc213075,1936-01-01T00:00:00Z,145,31753712,Kyiv,Hibru poblishing kompani,1936,,,,,,,,,,,,,,
Satirishe mayse'lakh,"Saltykov-Shchedrin, Mikhail","Buchwald, N.",unknown,Russian,,anthology,,,nybc208823,1921-01-01T00:00:00Z,177,36893112,New York,Naye velt,1921,,,,,,,,,,,,,,
Der khodye,"Samokhvalov, Alexander","Kipnis, Itzik, 1896-1974",Ходя,Russian,,,,,nybc213076,1930-01-01T00:00:00Z,196,7148673,Kyiv,Kultur lige,1930,,,,,,,,,,,,,,
Di fliglen fun mut,"Sand, George","Khatskels, Helene",Les Ailes de Courage,French,Q40174143,,,,nybc213078,1939-01-01T00:00:00Z,156,16021737,Vilne,Naye Yidishe shul,1939,,,,,,,,,,,,,,
Der tsaytungs-shrayber,"Sarao, Matilda",Leon,unknown,Italian,,,,,nybc212441,1911-01-01T00:00:00Z,104,250772483,Warsaw,A. Gitlin's folks-bibliotek,1911,,,,,,,,,,,,,,
Khlor vi me bakumt im un vi me nutst im oys ...,"Sass-Tisovski, Boris","Spivak, B.","Рабочая библиотека Хлор, его получение и применение",Russian,,,,,nybc213137,1933-01-01T00:00:00Z,176,9251184,Kharkiv,Melukhe farlag far di natsyonale minderheytn in USSR,1933,,,,Kyiv,,,,,,,,,,
Okrep,"Savelev, Leonid","R., L.",Кипяток,Russian,,,,,nybc213138,1935-01-01T00:00:00Z,209,50649153,Kharkiv,Melukhe farlag far di natsyonale minderheytn in USSR,1935,,,,Kyiv,,,,,,,,,,
Di nakht fun dem ratn-tsuzamenfor,"Savelev, Leonid","Libkis, Dine",unknown,Russian,,,,,nybc213139,1935-01-01T00:00:00Z,206,207955417,Kharkiv,Melukhisher natsmind farlag bam prezidium fun vutsik,1935,,,,Kyiv,,,,,,,,,,
Zikhroynes fun a terorist,"Savinkov, Boris","Shur, M.",Воспоминания террориста,Russian,,,,,nybc212278,1930-01-01T00:00:00Z,131,822654302,Warsaw,Kh. Bzhoza,1930,,,,,,,,,,,,,,
Di neshome fun a froy,Savvaty,"Landoy, M.",unknown,Russian,,"Pseudonym of Потапенко, Дионисия Игнатьевна",,,nybc213509,1919-01-01T00:00:00Z,236,264510739,Warsaw,Farlag Yidish,1919,,,,,,,,,,,,,,
Di groyse farshverung di geheyme milkhome kegn Sovetn-Farband,"Sayers, Michael","Margoles-Davidzon, Khayim",The Great Conspiracy against Russia,English,,,,,nybc206847,1946-01-01T00:00:00Z,185,130501076,New York,"Farlag fun Idishn Fraternaln folks-ordn, A.A.A.",1946,"Kahn, Albert",,,,,,,,,,,,,
In der medine fun di Kuzarim Yidisher historisher roman fun dem akhtn yorhundert,"Schachnowitz, Selig","Reyzen, Zalman",Im Judenstaat der Chasaren,German,,,,,nybc204114,1924-01-01T00:00:00Z,240,91212690,Vilne,B. Kletskin,1924,,,,,,,,,,,,,,
Di farshverung fun Pyesko in Genua,"Schiller, Friedrich","Heylperin, Falk",Die Verschwörung des Fiesco zu Genua,German,Q382941,,,,nybc212617,1929-01-01T00:00:00Z,104,342913826,Vilne,B. Kletskin,1929,,,,Warsaw,,,,,,,,,,
vilhelm tel,"Schiller, Friedrich","Heylperin, Falk",Wilhelm Tell,German,Q937281,,,,nybc210400,1929-01-01T00:00:00Z,337,32505880,Vilne,B. Kletskin,1929,,,,,,,,,,,,,,
Onhoyb fun kapitalizm bay Yuden in Mayrev-Eyrope geshriben in der Daytsher shprakh,"Schiper, Ignacy","Maymun, Hillel",Anfänge des Kapitalismus bei den abendländischen Juden im früheren Mittelalter (bis zum Ausgang des 12. Jahrhunderts),German,,,,,nybc210402,1920-01-01T00:00:00Z,243,44820857,Warsaw,Arbeyter heym,1920,,,,,,,,,,,,,,
Zoologye di yesoydes fun dem limed vegn dem lebn ...,"Schmeil, Otto",Dr. Isel,Leitfaden der Zoologie,German,,Could also be translated from Lehrbuch der Zoologie,,,nybc210886,1924-01-01T00:00:00Z,181,112911581,Vilne,B. Kletskin,1924,,,,,,,,,,,,,,
Zoologye di yesoydes fun dem limed vegn dem lebn ...,"Schmeil, Otto",Dr. Isel,Leitfaden der Zoologie,German,,Could also be translated from Lehrbuch der Zoologie,,2,nybc202814,1920-01-01T00:00:00Z,294,50552208,Vilne,Shul farlag,1920,,,,,,,,,,,,,,
Zoologye di yesoydes fun dem limed vegn dem lebn ...,"Schmeil, Otto",Dr. Isel,Leitfaden der Zoologie,German,,Could also be translated from Lehrbuch der Zoologie,,1,nybc202813,1920-01-01T00:00:00Z,260,46329558,Vilne,Shul farlag,1920,,,,,,,,,,,,,,
[Sefer ha-zikhronot] = Lyubavitsher rebin's zikhroynes,Schneersohn Joseph,"Mekler, D. L.",ספר הזכרונות,Hebrew,,,,1,nybc208211,1965-01-01T00:00:00Z,259,108490542,Brooklyn,Kehot,1965,,,,,,,,,,,,,,
[Sefer ha-zikhronot] = Lyubavitsher rebin's zikhroynes,Schneersohn Joseph,"Mekler, D. L.",ספר הזכרונות,Hebrew,,,,2,nybc208212,1965-01-01T00:00:00Z,287,96336995,Brooklyn,Kehot,1965,,,,,,,,,,,,,,
[Sefer ha-zikhronot] = Lyubavitsher rebin's zikhroynes,Schneersohn Joseph,"Mekler, D. L.",ספר הזכרונות,Hebrew,,,,,nybc210474,1955-01-01T00:00:00Z,244,101879839,Brooklyn,Kehot,1955,,,,,,,,,,,,,,
[Sefer ha-zikhronot] = Lyubavitsher rebin's zikhroynes,Schneersohn Joseph,"Mekler, D. L.",ספר הזכרונות,Hebrew,,,,,nybc210476,1955-01-01T00:00:00Z,217,100750654,Brooklyn,Kehot,1955,,,,,,,,,,,,,,
[Sefer ha-zikhronot] = Lyubavitsher rebin's zikhroynes,Schneersohn Joseph,"Mekler, D. L.",ספר הזכרונות,Hebrew,,,,,nybc210475,1955-01-01T00:00:00Z,349,100711218,Brooklyn,Kehot,1955,,,,,,,,,,,,,,
Der letster viln :,"Schnitzler, Arthur","Sheynberg, Dovid",Das Vermächtnis,German,Q1170678,anthology,,,nybc212648,1926-01-01T00:00:00Z,96,229989538,Warsaw,Farlag Ḥ. Bzshoza,1926,,,,,,,,,,,,,,
Oysgevehlte shriftn ertsehlungen un dramatishe shriften,"Schnitzler, Arthur",unknown,unknown,German,,anthology,,2,nybc210488,1918-01-01T00:00:00Z,125,41753496,New York,Literarisher farlag,1918,,,,,,,,,,,,,,
Oysgevehlte shriftn ertsehlungen un dramatishe shriften,"Schnitzler, Arthur",unknown,unknown,German,,,,1,nybc210487,1918-01-01T00:00:00Z,189,55081746,New York,Literarisher farlag,1918,,,,,,,,,,,,,,
Der karahod,"Schnitzler, Arthur","Mikrokosmos, D. B.",Reigen,German,Q1414190,,,,derkarahod00schn,1916-01-01T00:00:00Z,177,139028402,,Literarisher farlag,1916,,,,,,,,,,,,,,
Gezamelte shriften,"Schnitzler, Arthur","Karlinski, Ber",unknown,German,,anthology,,,nybc203302,1908-01-01T00:00:00Z,242,85011664,Warsaw,Velt-bibliotek,1908,,,,,,,,,,,,,,
troymen,"Schreiner, Olive","David, G.",Dreams,English,Q110515960,,,,nybc212669,1910-01-01T00:00:00Z,94,184207230,New York,Ferlag Mayzel et ko.,1910,,,,,,,,,,,,,,
Frayntshaft,"Schiller, Friedrich","Bastomski, S., 1891-1941",Die Bürgschaft,German,Q897288,Adapted to short story form.,,,nybc213155,1931-01-01T00:00:00Z,172,1842963,Vilne,Naye Yidishe folksshul,1931,,,,,,,,,,,,,,
Unzer lid fun Shpanye,"ibn Gabirol, Solomon","Shvartz, Y. Y.",unknown,Hebrew,,anthology,,,nybc200772,1931-01-01T00:00:00Z,402,38049121,New York,"Yidisher kultur gezelshaft, Filadelfyer tsvayg",1931,"Ibn Ezra, Moses","ha-Levi, Judah",,,,,,,,,,,,
Di letste nesie,"Scott, Robert","Sh—ra, A.",Scott’s Last Expedition,English,Q51380183,,,,nybc205129,1922-01-01T00:00:00Z,177,49740298,Warsaw,B. Shimin,1922,,,,,,,,,,,,,,
Erd-zaft,"Seifullina, Lidiya","Godiner, Samuel Nissan",unknown,Russian,,"anthology, includes Правонарушители",,,nybc210725,1924-01-01T00:00:00Z,122,38936372,Moscow,Shul un bukh,1924,,,,,,,,,,,,,,
Dos ponem fun dorf [un] gezetsbrekher,"Seifullina, Lidiya","Rapoport, O.",unknown,Russian,,"anthology, includes Правонарушители",,,nybc202779,1927-01-01T00:00:00Z,125,69976513,Warsaw,Kultur lige,1927,,,,,,,,,,,,,,
virineya,"Seifullina, Lidiya","Godiner, Samuel Nissan",Виринея,Russian,,,,,nybc214563,1925-01-01T00:00:00Z,100,214500422,Moscow,Shul un bukh,1925,,,,,,,,,,,,,,
Bingo :,"Seton, Ernest Thompson","Kantor, S.","Bingo, the Story of My Dog",English,,,,,nybc214443,1920-01-01T00:00:00Z,164,56238540,Białystok,Dos bukh,1920,,,,,,,,,,,,,,
Heldishe khayes,"Seton, Ernest Thompson","Kushnirov, A.",Animal Heroes,English,,,,,nybc211132,1937-01-01T00:00:00Z,102,308355631,Moscow,Emes,1937,,,,,,,,,,,,,,
Der fuks un zayn gezindl,"Seton, Ernest Thompson",unknown,The Springfield Fox,English,,,,,nybc213159,1917-01-01T00:00:00Z,136,8039689,Vilne,A.F.G.,1917,,,,,,,,,,,,,,
Lobo,"Seton, Ernest Thompson","Kantor, Sonye","Lobo, The King of Currumpaw",English,Q3271910,,,,nybc205091,1920-01-01T00:00:00Z,164,8582642,Białystok,Dos bukh,1920,,,,,,,,,,,,,,
vuli der shofhunt,"Seton, Ernest Thompson","Kantor, Sonye","Wully, The Story of a Yaller Dog",English,,,,,nybc213164,1920-01-01T00:00:00Z,146,5791504,Białystok,Dos bukh,1920,,,,,,,,,,,,,,
Zilberflek a geshikhte fun a kro,"Seton, Ernest Thompson","Kantor, Sonye","Silverspot, the Story of a Crow",English,,,,,nybc213158,1920-01-01T00:00:00Z,200,60008216,Białystok,Dos bukh,1920,,,,,,,,,,,,,,
Di kinigin Anastalan a geshikhte fun a kats,"Seton, Ernest Thompson","Kantor, Sonye",The Slum Cat,English,,,,,nybc213160,1920-01-01T00:00:00Z,185,14117910,Białystok,Dos bukh,1920,,,,,,,,,,,,,,
Yakhim ber,"Seton, Ernest Thompson","Rubinshteyn, M.",Johnny Bear,English,,,,,nybc210756,1921-01-01T00:00:00Z,214,12097405,Białystok,Dos bukh,1921,,,,,,,,,,,,,,
Pinkelekh Der kleyner held,"Seton, Ernest Thompson","Rubinstein, Moises",unknown,English,,anthology,,,nybc213161,1921-01-01T00:00:00Z,153,4585953,Białystok,Dos bukh,1921,,,,,,,,,,,,,,
kinig Lir,"Shakespeare, William","Halkin, Sh.",King Lear,English,Q181598,,,,nybc210885,1937-01-01T00:00:00Z,1092,43789378,Moscow,Emes,1937,,,,,,,,,,,,,,
Otelo,"Shakespeare, William","Goldberg, Y.",Othello,English,Q26833,,,,nybc210884,1935-01-01T00:00:00Z,1640,32182586,Minsk,Melukhe-farlag fun vaysrusland,1935,,,,,,,,,,,,,,
Shaylok,"Shakespeare, William","Bavshaver, Y.",The Merchant of Venice,English,Q206400,,,,shaylok00shak,1899-01-01T00:00:00Z,511,206025982,,Hibru poblishing kompani,1899,,,,,,,,,,,,,,
vilyam Shekspir's sonetn,"Shakespeare, William","Asen, Abraham, 1896-",Shakespeare’s sonnets,English,Q662550,,,,nybc210501,1944-01-01T00:00:00Z,544,23548123,New York,[s. n.],1944,,,,,,,,,,,,,,
Sonetn,"Shakespeare, William","Lapin, Berl",Shakespeare’s sonnets,English,Q662551,,,,nybc210500,1953-01-01T00:00:00Z,681,34155350,New York,Blokh,1953,,,,,,,,,,,,,,
Lider un poemes,"Shalom, Shin","Barkan, H.",unknown,Hebrew,,,,,nybc202867,1964-01-01T00:00:00Z,240,9742649,Tel-Aviv,Y. L. Perets,1964,,,,,,,,,,,,,,
Dertseylungen fun amol--,unknown,Shas-Roman,unknown,Romanian,,anthology,,,nybc207355,1971-01-01T00:00:00Z,184,41773889,Bucharest,kriteryon,1971,,,,,,,,,,,,,,
kandida,"Shaw, Bernard","Elkin, M.",Candida,English,Q3509127,,,,nybc212488,1923-01-01T00:00:00Z,116,141060086,Vilne,B. A. Kletskin,1923,,,,,,,,,,,,,,
Di froy in sotsyalizm un kapitalizm,"Shaw, Bernard","Kreytman, Esther",The Intelligent Woman's Guide to Socialism and Capitalism,English,Q7742252,,,2,nybc202293,1930-01-01T00:00:00Z,164,107382666,Warsaw,Sh. Goldfarb,1930,,,,,,,,,,,,,,
Di froy in sotsyalizm un kapitalizm,"Shaw, Bernard","Kreytman, Esther",The Intelligent Woman's Guide to Socialism and Capitalism,English,Q7742253,,,1,nybc202292,1930-01-01T00:00:00Z,595,83827481,Warsaw,Sh. Goldfarb,1930,,,,,,,,,,,,,,
Provokator derinerungen un dokumentn vegn Azefs demaskirung,"Shchegolev, Pavel","Rapoport, Y.",Провокатор: воспоминания и документы о разоблачений Азефа,Russian,,,,,nybc202028,1930-01-01T00:00:00Z,136,99845566,Warsaw,Yatshkovski,1930,,,,,,,,,,,,,,
Der yunger epikoyres,unknown,"Sheynman, Mikhail",unknown,,,anthology,,,nybc211011,1932-01-01T00:00:00Z,245,22132154,Kharkiv,Melukhe-Farlag far di natsminderhaytn fun U.S.R.R.,1932,,,,Kyiv,,,,,,,,,,
Got un kapital,"Sheynman, Mikhail",unknown,unknown,Russian,,,,,nybc210930,1932-01-01T00:00:00Z,137,57595914,Kharkiv,Melukhisher natsmind farlag bam prezidium fun vutsik,1932,,,,Kyiv,,,,,,,,,,
"Prometeus, der goyel","Shelley, Percy Bysshe","Blechman, Moses",Prometheus Unbound,English,Q508181,,,,nybc206411,1953-01-01T00:00:00Z,144,26724722,Chicago,L. M. Shteyn,1953,,,,,,,,,,,,,,
Mayn muter,Sheng Cheng,"Rakovski, Mark",Ma mere,French,,,,,nybc211899,1930-01-01T00:00:00Z,111,23407280,Warsaw,B. Kletskin,1930,,,,,,,,,,,,,,
Sof fun vanderung pyese in dray aktn un zeks bilder,"Sheriff, Robert","Gelenberg, M.",Journey’s End,English,Q12833234,,,,nybc201589,1930-01-01T00:00:00Z,138,24614997,Vilne,B. Kletskin,1930,,,,,,,,,,,,,,
A shpatsir mit fargenign un nit on moral,"Shevchenko, Taras","Hofstein, David",Прогулка с удовольствием и не без морали,Russian,Q11828562,,,,nybc210819,1939-01-01T00:00:00Z,225,60238320,Kyiv,Melukhe-farlag far di Natsionale minderhaytn in U.S.S.R.,1939,,,,,,,,,,,,,,
Di vayse shklavin,"Schøyen, Elisabeth","Herts, Khayim",Den hvite slavinde,Norwegian,,,,,nybc212432,,88,564009759,New York,Varhayt,unknown,,,,,,,"Abramson, A. M.",,,,,,,
Shulkhn orekh Yidish Daytsher Shulkhn orekh ...,"Karo, Joseph","Shik, Shloyme Tsvi",שלחן ארוך,Hebrew,Q822206,,,,nybc202676,1896-01-01T00:00:00Z,262,116418134,Budapest,M.E. Löwy's Sohn,1896,,,,,,,,,,,,,,
"Hipnotizm, sugestye, telepatye a hantbukh tsu farshtarkn dem viln, feikeytn un andere gaystike eygnshaftn","Shiller-Shkolnik, H. M.","Goldes, Leyb",Новый курс гипнотизма,Russian,,,,,nybc204707,1929-01-01T00:00:00Z,240,44076816,Warsaw,Yakubson un Goldberg,1929,,,,,,,,,,,,,,
kamo,"Shilin, Georgy","Bryanski, Shloyme",Камо,Russian,,,,,nybc213192,1931-01-01T00:00:00Z,162,23714111,Kharkiv,Tsentrfarlag,1931,,,,Kyiv,,,,,,,,,,
Geshikhte fun Yudishen folk in der tsayt fun beys sheyni,"Schürer, Emil","Kalmanovitch, Zelig",Geschichte des jüdischen Volkes im Zeitalter Jesu Christi,German,,,,,nybc210407,1914-01-01T00:00:00Z,199,187563298,Vilne,B. Kletskin,1914,,,,,,,,,,,,,,
Royte teg :,"Shmuelevitz, Matityahu","Shneur, Sh.",בימים אדומים,Hebrew,,,,,nybc212739,1970-01-01T00:00:00Z,87,862089839,Tel-Aviv,Elishaʿ,1970,,,,,,,,,,,,,,
Dos Sholem-Aleykhem-bukh oytobyografishe fartseykhenungen,unknown,Sholem Aleichem,unknown,Hebrew,,Shir haShirim and Eshet Chayil,,,nybc214416,1958-01-01T00:00:00Z,1005,410773921,New York,Ikuf,1958,,,,,,,,,,,,,,
Di pasirungen funem hintl Dzshemki,"Shovkoplyas, Yuri","Shekhtman, N.",Пригоди песика Джемки,Ukrainian,,,,,nybc213237,1934-01-01T00:00:00Z,163,14851905,Kharkiv,Kinder farlag,1934,,,,,,,,,,,,,,
"Schnitzler, Arthur","Schnitzler, Arthur",unknown,unknown,German,,anthology,,,nybc214474,1913-01-01T00:00:00Z,328,479262306,Warsaw,B. Shimin,1913,,,,,,,,,,,,,,
Ohn a gloyben,"Sienkiewicz, Henryk","Kasel, D.",Bez dogmatu,Polish,Q4080743,,,,nybc203956,1921-01-01T00:00:00Z,186,255809725,Warsaw,[s.n.],1921,,,,,,,,,,,,,,
Yanko der shpiler,"Sienkiewicz, Henryk","Bastomski, S., 1891-1941",Janko Muzykant,Polish,Q11719936,,,,nybc213240,1933-01-01T00:00:00Z,211,4032171,Vilne,Naye Yidishe folksshul,1933,,,,,,,,,,,,,,
Mit fayer un shverd,"Sienkiewicz, Henryk","Blayshtift, Moyshe",Ogniem i mieczem,Polish,Q927292,,,1,nybc210515,1924-01-01T00:00:00Z,209,221945142,Warsaw,Sh. Yatshkovoski,1924,,,,,,,,,,,,,,
Mit fayer un shverd,"Sienkiewicz, Henryk","Blayshtift, Moyshe",Ogniem i mieczem,Polish,Q927292,,,2,nybc210516,1924-01-01T00:00:00Z,152,199406237,Warsaw,Sh. Yatshkovoski,1924,,,,,,,,,,,,,,
